py5_name,processing_name,decorator,type,implementation,comments
ROUND,ROUND,,static field,SKIP,
PROJECT,PROJECT,,static field,SKIP,
MITER,MITER,,static field,SKIP,
BEVEL,BEVEL,,static field,SKIP,
AMBIENT,AMBIENT,,static field,SKIP,
DIRECTIONAL,DIRECTIONAL,,static field,SKIP,
SPOT,SPOT,,static field,SKIP,
BACKSPACE,BACKSPACE,,static field,SKIP,
TAB,TAB,,static field,SKIP,
ENTER,ENTER,,static field,SKIP,
RETURN,RETURN,,static field,SKIP,
ESC,ESC,,static field,SKIP,
DELETE,DELETE,,static field,SKIP,
CODED,CODED,,static field,SKIP,
UP,UP,,static field,SKIP,
DOWN,DOWN,,static field,SKIP,
LEFT,LEFT,,static field,SKIP,
RIGHT,RIGHT,,static field,SKIP,
ALT,ALT,,static field,SKIP,
CONTROL,CONTROL,,static field,SKIP,
SHIFT,SHIFT,,static field,SKIP,
